2527,7.1,1973,http://ia.media-imdb.com/images/M/MV5BMjIxMDY2MTAzMV5BMl5BanBnXkFtZTgwNDA3NjAxMDE@._V1._SX91_SY140_.jpg,Michael Crichton,Yul Brynner|Richard Benjamin|James Brolin|Norman Bartold|Alan Oppenheimer
2528,6.8,1976,http://ia.media-imdb.com/images/M/MV5BMjA2NTI4NDY1MF5BMl5BanBnXkFtZTgwMTg0NjAxMDE@._V1._SX90_SY140_.jpg,Michael J. Anderson,Michael York|Richard Jordan|Jenny Agutter|Roscoe Lee Browne|Farrah Fawcett
2529,8.0,1968,http://ia.media-imdb.com/images/M/MV5BMTg0NjUwMzg5NF5BMl5BanBnXkFtZTgwNDQ0NjcwMTE@._V1._SX95_SY140_.jpg,Franklin J. Schaffner,Charlton Heston|Roddy McDowall|Kim Hunter|Maurice Evans|James Whitmore
2530,6.1,1970,http://ia.media-imdb.com/images/M/MV5BMTk0NDE0OTg2Ml5BMl5BanBnXkFtZTcwMDk3MTk0MQ@@._V1._SX93_SY140_.jpg,Ted Post,James Franciscus|Kim Hunter|Maurice Evans|Linda Harrison|Paul Richards
2531,5.5,1973,http://ia.media-imdb.com/images/M/MV5BMTk3NDA3OTg4M15BMl5BanBnXkFtZTgwNDgxMjUzMjE@._V1._SX90_SY140_.jpg,J. Lee Thompson,Roddy McDowall|Claude Akins|Natalie Trundy|Severn Darden|Lew Ayres
2532,6.1,1972,http://ia.media-imdb.com/images/M/MV5BMjA4NjEyMDIxMV5BMl5BanBnXkFtZTcwMzY5OTcyOA@@._V1._SX100_SY138_.jpg,J. Lee Thompson,Roddy McDowall|Don Murray|Natalie Trundy|Hari Rhodes|Severn Darden
2533,6.3,1971,http://ia.media-imdb.com/images/M/MV5BNjg2MjY0NDMwM15BMl5BanBnXkFtZTcwNjQ0NzA0MQ@@._V1._SX100_SY138_.jpg,Don Taylor,Roddy McDowall|Kim Hunter|Bradford Dillman|Natalie Trundy|Eric Braeden
2535,5.8,1974,http://ia.media-imdb.com/images/M/MV5BMTIzOTk5ODk1MF5BMl5BanBnXkFtZTcwNTcyNDMyMQ@@._V1._SX100_SY138_.jpg,Mark Robson,Charlton Heston|Ava Gardner|George Kennedy|Lorne Greene|Geneviève Bujold
2536,4.2,1979,http://ia.media-imdb.com/images/M/MV5BMTc3OTIyMDM1Nl5BMl5BanBnXkFtZTcwODA0NzYyMQ@@._V1._SX88_SY140_.jpg,David Lowell Rich,Alain Delon|Susan Blakely|Robert Wagner|Sylvia Kristel|George Kennedy
2537,4.4,1979,http://ia.media-imdb.com/images/M/MV5BMTY4ODA4OTIyM15BMl5BanBnXkFtZTcwOTA5NTUzMQ@@._V1._SX100_SY123_.jpg,Irwin Allen,Michael Caine|Sally Field|Telly Savalas|Peter Boyle|Jack Warden
2539,6.7,1999,http://ia.media-imdb.com/images/M/MV5BMTQxNjM3ODQ0OF5BMl5BanBnXkFtZTgwNjk1Mzk5MDE@._V1._SX92_SY140_.jpg,Harold Ramis,Robert De Niro|Billy Crystal|Lisa Kudrow|Chazz Palminteri|Kresh Novakovic
2540,6.0,1999,http://ia.media-imdb.com/images/M/MV5BMTIwNDg5MDc0MF5BMl5BanBnXkFtZTcwOTM1NTIyMQ@@._V1._SX100_SY137_.jpg,James Foley,Yun-Fat Chow|Mark Wahlberg|Ric Young|Paul Ben-Victor|Jon Kit Lee
2541,6.9,1999,http://ia.media-imdb.com/images/M/MV5BMjMxNjM5OTQ2M15BMl5BanBnXkFtZTgwNjUxNzYxMTE@._V1._SX95_SY140_.jpg,Roger Kumble,Sarah Michelle Gellar|Ryan Phillippe|Reese Witherspoon|Selma Blair|Louise Fletcher
2542,8.2,1998,http://ia.media-imdb.com/images/M/MV5BMTU4MTM1MjUxMF5BMl5BanBnXkFtZTYwOTEzODY4._V1._SX100_SY139_.jpg,Guy Ritchie,Jason Flemyng|Dexter Fletcher|Nick Moran|Jason Statham|Steven Mackintosh
2544,6.8,1998,http://ia.media-imdb.com/images/M/MV5BMTczNjkyNzkyMV5BMl5BanBnXkFtZTYwMjY0MDM5._V1._SX95_SY140_.jpg,Benoît Jacquot,Isabelle Huppert|Vincent Martinez|Vincent Lindon|Marthe Keller|François Berléand
2546,6.3,1999,http://ia.media-imdb.com/images/M/MV5BMTA1Mzc5NjQzOTdeQTJeQWpwZ15BbWU2MDYyMzk4OA@@._V1._SX97_SY140_.jpg,Ulu Grosbard,Michelle Pfeiffer|Treat Williams|Whoopi Goldberg|Jonathan Jackson|Cory Buck
